,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0,1.0,False,149.0,2.0,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False
1,0.0,False,2184.0,2.0,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True
2,1.0,False,1.0,2.0,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False
3,1.0,False,1.0,2.0,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False
4,0.0,False,2186.0,2.0,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True
5,0.0,False,2183.0,1.0,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True
6,0.0,False,3425.0,2.0,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True
7,0.0,True,4559.0,2.0,28.0,False,0.0,0.0,0.0,0.0,,Candra Jacostaffey,True
8,0.0,False,3565.0,2.0,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,True
9,1.0,True,150.0,0.0,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True
10,1.0,True,150.0,2.0,34.0,False,0.0,0.0,,0.0,0.0,Altardr Flatic,True
11,1.0,False,150.0,0.0,45.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True
12,2.0,False,2185.0,2.0,32.0,False,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True
13,0.0,False,4561.0,2.0,48.0,False,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False
14,0.0,False,3424.0,2.0,28.0,False,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True
15,0.0,False,,2.0,31.0,False,32.0,0.0,876.0,0.0,0.0,Justie Pooles,False
16,2.0,False,3564.0,0.0,27.0,False,1286.0,122.0,,0.0,0.0,Flats Eccle,False
17,0.0,False,3696.0,0.0,24.0,False,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,False
18,2.0,True,3844.0,2.0,45.0,False,0.0,0.0,0.0,0.0,0.0,Alus Upead,True
19,0.0,False,4558.0,2.0,0.0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True
20,0.0,False,3988.0,0.0,14.0,False,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False
21,0.0,True,1407.0,2.0,1.0,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False
22,0.0,True,1407.0,0.0,49.0,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False
23,0.0,True,1407.0,0.0,29.0,False,0.0,0.0,,0.0,0.0,Mollen Mcfaddennon,False
24,0.0,False,1407.0,2.0,10.0,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True
25,0.0,True,1407.0,1.0,1.0,False,,0.0,0.0,0.0,0.0,Mael Brantuarez,False
26,0.0,False,1407.0,2.0,7.0,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False
27,2.0,False,1034.0,2.0,21.0,False,980.0,2.0,69.0,0.0,0.0,,False
28,1.0,True,750.0,2.0,62.0,False,0.0,0.0,,0.0,0.0,Penton Fullided,True
29,0.0,False,3989.0,2.0,15.0,False,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,False
30,1.0,False,598.0,0.0,34.0,False,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,False
31,2.0,False,4268.0,2.0,43.0,False,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,False
32,0.0,False,5660.0,2.0,32.0,False,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,False
33,2.0,False,4406.0,2.0,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True
34,2.0,False,4406.0,2.0,2.0,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True
35,2.0,False,4406.0,2.0,20.0,False,,0.0,1750.0,990.0,0.0,Dontch Datie,True
36,1.0,True,1036.0,0.0,28.0,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True
37,2.0,False,1035.0,0.0,23.0,False,784.0,964.0,0.0,951.0,0.0,Luse Butte,False
38,0.0,False,4269.0,0.0,15.0,,0.0,492.0,48.0,20.0,401.0,Marina Leodger,False
39,0.0,False,2188.0,0.0,20.0,False,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,False
40,0.0,True,4560.0,0.0,30.0,False,0.0,0.0,,0.0,0.0,Jorgie Batthewitt,False
41,0.0,True,5362.0,2.0,17.0,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True
42,1.0,False,461.0,2.0,45.0,False,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,False
43,0.0,True,5513.0,2.0,55.0,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False
44,0.0,True,5513.0,0.0,4.0,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True
45,0.0,True,5513.0,1.0,21.0,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True
46,2.0,False,2187.0,2.0,21.0,False,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,False
47,2.0,True,2187.0,,19.0,False,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True
48,0.0,False,1408.0,0.0,35.0,False,790.0,0.0,0.0,,0.0,Sony Lancis,False
49,0.0,False,1557.0,2.0,56.0,False,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,False
50,0.0,False,5955.0,2.0,,False,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,False
51,0.0,False,2330.0,2.0,25.0,False,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,True
52,1.0,False,2.0,2.0,2.0,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True
53,1.0,True,2.0,2.0,38.0,False,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True
54,1.0,False,2.0,2.0,27.0,False,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,True
55,0.0,True,6108.0,1.0,36.0,False,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,False
56,0.0,False,2482.0,2.0,22.0,False,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,False
57,0.0,False,2628.0,2.0,62.0,False,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,False
58,2.0,True,2763.0,2.0,15.0,False,0.0,0.0,0.0,0.0,0.0,,True
59,,True,1697.0,2.0,33.0,False,0.0,0.0,,0.0,0.0,Colatz Keen,True
60,0.0,False,5954.0,2.0,62.0,False,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,False
61,0.0,True,4562.0,1.0,0.0,False,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True
62,0.0,False,4562.0,2.0,18.0,False,1.0,258.0,446.0,0.0,0.0,Celine Leeves,True
63,0.0,False,2905.0,0.0,21.0,False,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,False
64,2.0,False,1845.0,2.0,,False,793.0,0.0,2.0,253.0,0.0,Cinst Binie,False
65,0.0,False,3044.0,2.0,42.0,False,887.0,0.0,9.0,6.0,0.0,,True
66,0.0,False,2627.0,2.0,19.0,False,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,False
67,0.0,False,2762.0,2.0,17.0,False,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,False
68,0.0,False,3190.0,2.0,14.0,False,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,False
69,2.0,False,1303.0,1.0,37.0,False,46.0,83.0,738.0,0.0,12.0,Gorn Make,False
70,1.0,False,903.0,2.0,42.0,False,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,True
71,2.0,False,3331.0,2.0,27.0,False,147.0,0.0,1018.0,0.0,0.0,Conk Dal,True
72,2.0,False,2904.0,2.0,28.0,False,14.0,0.0,1295.0,0.0,0.0,Pon Blité,True
73,1.0,False,950.0,2.0,38.0,False,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,False
74,0.0,True,4992.0,2.0,13.0,False,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,False
75,2.0,False,3043.0,2.0,42.0,False,7406.0,0.0,0.0,0.0,0.0,Totse Datte,False
76,2.0,True,3043.0,2.0,2.0,False,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,True
77,2.0,False,3043.0,2.0,8.0,False,0.0,0.0,0.0,0.0,0.0,,True
78,0.0,False,5139.0,2.0,24.0,False,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,True
79,1.0,True,962.0,2.0,40.0,False,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,True
80,0.0,False,3189.0,2.0,43.0,False,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,False
81,2.0,True,1988.0,1.0,45.0,False,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,True
82,0.0,True,5281.0,2.0,35.0,False,0.0,0.0,0.0,0.0,0.0,Heremy Santry,True
83,0.0,True,5303.0,2.0,26.0,False,,0.0,0.0,0.0,0.0,Deanne Yorkland,True
84,0.0,False,3426.0,2.0,27.0,False,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,False
85,0.0,False,6402.0,2.0,19.0,False,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,False
86,0.0,True,6402.0,2.0,0.0,False,0.0,0.0,,0.0,0.0,Stald Hewson,True
87,0.0,True,6402.0,2.0,3.0,False,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,True
88,1.0,False,24.0,2.0,54.0,False,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,False
89,0.0,False,4710.0,2.0,26.0,False,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,False
90,0.0,False,4710.0,2.0,26.0,False,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,True
91,0.0,False,3407.0,1.0,23.0,False,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,False
92,0.0,,4848.0,2.0,2.0,False,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,True
93,2.0,True,,2.0,31.0,False,0.0,0.0,0.0,0.0,0.0,Book Trad,True
94,0.0,False,3471.0,2.0,18.0,False,0.0,0.0,0.0,830.0,91.0,Ritany Holson,False
95,0.0,False,3485.0,2.0,24.0,False,0.0,,0.0,0.0,17.0,Arlen Mclainez,True
96,0.0,True,5331.0,0.0,9.0,False,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,True
97,0.0,True,5331.0,2.0,6.0,False,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,False
98,0.0,,3442.0,2.0,27.0,False,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,False
99,2.0,False,1182.0,2.0,21.0,False,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,False
100,0.0,True,5348.0,2.0,23.0,False,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,False
101,0.0,False,5348.0,2.0,31.0,False,562.0,0.0,326.0,0.0,0.0,,False
102,0.0,False,5348.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,True
103,1.0,False,,2.0,32.0,False,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,False
104,1.0,,528.0,2.0,40.0,False,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,False
105,1.0,False,528.0,2.0,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,True
106,1.0,True,528.0,2.0,28.0,False,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,True
107,1.0,True,2121.0,2.0,29.0,False,0.0,0.0,0.0,0.0,0.0,Aldera Supred,True
108,1.0,False,151.0,0.0,48.0,True,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,True
109,0.0,False,3470.0,2.0,64.0,False,0.0,0.0,804.0,0.0,0.0,Idary Carvis,True
110,0.0,False,5364.0,2.0,27.0,False,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,False
111,2.0,,3484.0,2.0,26.0,False,0.0,0.0,0.0,0.0,,Rohs Pead,True
112,1.0,False,1314.0,2.0,33.0,False,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,True
113,,False,0.0,2.0,39.0,False,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,False
114,1.0,True,0.0,2.0,13.0,False,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,True
115,2.0,True,3500.0,2.0,24.0,False,0.0,0.0,0.0,0.0,,Bees Sacre,True
116,0.0,False,5377.0,2.0,29.0,False,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,False
117,0.0,False,3523.0,2.0,18.0,False,55.0,597.0,49.0,0.0,1.0,Iree Fielson,False
118,2.0,True,3524.0,2.0,67.0,False,0.0,0.0,0.0,0.0,0.0,Milly Mish,True
119,2.0,False,2141.0,2.0,35.0,False,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,False
120,2.0,False,1304.0,2.0,61.0,True,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,False
121,2.0,False,2158.0,2.0,45.0,False,2103.0,6.0,0.0,0.0,0.0,Barave Fles,False
122,0.0,True,5396.0,1.0,22.0,False,0.0,0.0,,0.0,0.0,Race Fowles,True
123,2.0,True,3551.0,2.0,19.0,False,0.0,0.0,0.0,0.0,0.0,Flynx Blie,True
124,2.0,False,1330.0,2.0,36.0,False,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,False
125,0.0,False,5315.0,2.0,19.0,False,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,True
126,0.0,False,5410.0,1.0,47.0,False,97.0,418.0,126.0,25.0,55.0,,False
127,0.0,True,5330.0,2.0,13.0,False,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,True
128,0.0,False,1987.0,,34.0,False,0.0,22.0,0.0,564.0,207.0,Monah Gambs,False
129,1.0,True,979.0,0.0,35.0,False,0.0,0.0,0.0,0.0,0.0,Charda Myling,True
130,0.0,True,5347.0,2.0,24.0,False,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,True
131,0.0,False,3550.0,2.0,26.0,False,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,False
132,2.0,False,3566.0,2.0,31.0,False,,0.0,97.0,0.0,0.0,Pyrohs Harte,False
133,0.0,False,3579.0,2.0,20.0,False,0.0,420.0,210.0,0.0,0.0,Guadae Dayers,True
134,0.0,False,5432.0,2.0,56.0,False,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,False
135,0.0,True,5448.0,2.0,50.0,False,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,True
136,2.0,False,3578.0,2.0,42.0,False,1072.0,0.0,10.0,0.0,76.0,Corsh Pashe,False
137,0.0,True,5467.0,0.0,,False,0.0,0.0,0.0,0.0,0.0,Billya Hubbarrison,True
138,0.0,True,5363.0,0.0,38.0,False,0.0,0.0,0.0,0.0,0.0,Shanie Simson,False
139,0.0,False,3594.0,,41.0,False,0.0,0.0,0.0,0.0,607.0,Andan Estron,False
140,0.0,False,5395.0,2.0,22.0,False,4119.0,0.0,0.0,0.0,61.0,Gory Atkinney,False
141,1.0,True,567.0,2.0,26.0,False,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,True
142,1.0,True,567.0,2.0,17.0,False,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,True
143,0.0,False,5485.0,2.0,57.0,False,50.0,1688.0,0.0,,135.0,Fany Hutchinton,True
144,0.0,True,5485.0,1.0,17.0,False,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,False
145,2.0,True,3657.0,2.0,35.0,,0.0,0.0,0.0,0.0,0.0,Graven Anche,True
146,2.0,True,3632.0,2.0,13.0,False,0.0,0.0,0.0,0.0,0.0,Miten Floaf,True
147,2.0,False,3632.0,2.0,27.0,False,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,False
148,0.0,True,5409.0,2.0,31.0,False,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,False
149,0.0,False,1410.0,2.0,24.0,False,0.0,0.0,0.0,221.0,567.0,Mollie Mcmahoney,False
150,0.0,True,5515.0,1.0,19.0,False,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,True
151,0.0,True,5419.0,2.0,32.0,False,0.0,0.0,0.0,0.0,0.0,Hanna Johnshines,True
152,0.0,,1425.0,2.0,58.0,False,0.0,985.0,0.0,5.0,0.0,Hilip Grifford,True
153,0.0,False,3673.0,0.0,21.0,False,287.0,0.0,16.0,115.0,175.0,Doryn Lambles,False
154,1.0,False,308.0,2.0,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,Toperon Iniouser,False
155,2.0,False,1345.0,2.0,38.0,False,3414.0,0.0,161.0,28.0,119.0,Wees Knik,False
